GRANULE_ID,PRODUCT_ID,DATATAKE_IDENTIFIER,MGRS_TILE,SENSING_TIME,TOTAL_SIZE,CLOUD_COVER,GEOMETRIC_QUALITY_FLAG,GENERATION_TIME,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,BASE_URL
L1C_T34TEK_A039630_20241007T093032,S2B_MSIL1C_20241007T093029_N0511_R136_T34TEK_20241007T102946,GS2B_20241007T093029_039630_N05.11,34TEK,2024-10-07T09:39:21.120000Z,496808442,0.086092106443752,,2024-10-07T10:29:46.000000Z,40.6509465300432,39.660504784035304,20.99964480194382,21.877012070784232,gs://gcp-public-data-sentinel-2/tiles/34/T/EK/S2B_MSIL1C_20241007T093029_N0511_R136_T34TEK_20241007T102946.SAFE
L1C_T34TDK_A039630_20241007T093032,S2B_MSIL1C_20241007T093029_N0511_R136_T34TDK_20241007T102946,GS2B_20241007T093029_039630_N05.11,34TDK,2024-10-07T09:39:25.090000Z,844131457,1.5465675296366,,2024-10-07T10:29:46.000000Z,40.65093382342741,39.655842773435886,19.8167086885318,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2B_MSIL1C_20241007T093029_N0511_R136_T34TDK_20241007T102946.SAFE
L1C_T34TDL_A048567_20241009T092329,S2A_MSIL1C_20241009T092031_N0511_R093_T34TDL_20241009T112145,GS2A_20241009T092031_048567_N05.11,34TDL,2024-10-09T09:29:12.430000Z,130179644,38.8859053507551,,2024-10-09T11:21:45.000000Z,41.55189010078095,40.56266225730744,20.796935559382646,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2A_MSIL1C_20241009T092031_N0511_R093_T34TDL_20241009T112145.SAFE
L1C_T34TDK_A048567_20241009T092329,S2A_MSIL1C_20241009T092031_N0511_R093_T34TDK_20241009T112145,GS2A_20241009T092031_048567_N05.11,34TDK,2024-10-09T09:29:25.322000Z,277630092,72.7968760895335,,2024-10-09T11:21:45.000000Z,40.650942000890254,39.660712702701076,20.52052169157991,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2A_MSIL1C_20241009T092031_N0511_R093_T34TDK_20241009T112145.SAFE
L1C_T34TDM_A039673_20241010T094629,S2B_MSIL1C_20241010T094029_N0511_R036_T34TDM_20241010T132109,GS2B_20241010T094029_039673_N05.11,34TDM,2024-10-10T09:48:46.208000Z,74889450,71.5332944068537,,2024-10-10T13:21:09.000000Z,42.44873895904965,41.799986193407605,19.78339462668537,20.037499259031655,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2B_MSIL1C_20241010T094029_N0511_R036_T34TDM_20241010T132109.SAFE
L1C_T34TDM_A048610_20241012T093316,S2A_MSIL1C_20241012T093031_N0511_R136_T34TDM_20241012T102329,GS2A_20241012T093031_048610_N05.11,34TDM,2024-10-12T09:38:54.699000Z,833242067,45.5245005822808,,2024-10-12T10:23:29.000000Z,42.45276788409956,41.45760533794017,19.78339462668537,21.118572913936227,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2A_MSIL1C_20241012T093031_N0511_R136_T34TDM_20241012T102329.SAFE
L1C_T34TDL_A048610_20241012T093316,S2A_MSIL1C_20241012T093031_N0511_R136_T34TDL_20241012T102329,GS2A_20241012T093031_048610_N05.11,34TDL,2024-10-12T09:39:09.178000Z,850694919,14.0427005882529,,2024-10-12T10:23:29.000000Z,41.55192163888785,40.55679702954411,19.800430497299637,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2A_MSIL1C_20241012T093031_N0511_R136_T34TDL_20241012T102329.SAFE
L1C_T34TEK_A048610_20241012T093316,S2A_MSIL1C_20241012T093031_N0511_R136_T34TEK_20241012T102329,GS2A_20241012T093031_048610_N05.11,34TEK,2024-10-12T09:39:19.502000Z,508375881,5.99401692639909,,2024-10-12T10:23:29.000000Z,40.6509465300432,39.66046643809094,20.99964480194382,21.887420365690573,gs://gcp-public-data-sentinel-2/tiles/34/T/EK/S2A_MSIL1C_20241012T093031_N0511_R136_T34TEK_20241012T102329.SAFE
L1C_T34TDK_A048610_20241012T093316,S2A_MSIL1C_20241012T093031_N0511_R136_T34TDK_20241012T102329,GS2A_20241012T093031_048610_N05.11,34TDK,2024-10-12T09:39:23.478000Z,850661747,4.64704828451133,,2024-10-12T10:23:29.000000Z,40.65093382342741,39.655842773435886,19.8167086885318,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2A_MSIL1C_20241012T093031_N0511_R136_T34TDK_20241012T102329.SAFE
L1C_T34TDL_A039730_20241014T092606,S2B_MSIL1C_20241014T092029_N0511_R093_T34TDL_20241014T112035,GS2B_20241014T092029_039730_N05.11,34TDL,2024-10-14T09:29:14.668000Z,135998860,26.9837064221791,,2024-10-14T11:20:35.000000Z,41.551897981979415,40.562643447016576,20.786663795670364,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2B_MSIL1C_20241014T092029_N0511_R093_T34TDL_20241014T112035.SAFE
L1C_T34TDK_A039730_20241014T092606,S2B_MSIL1C_20241014T092029_N0511_R093_T34TDK_20241014T112035,GS2B_20241014T092029_039730_N05.11,34TDK,2024-10-14T09:29:27.617000Z,340055725,0.0638623978201635,,2024-10-14T11:20:35.000000Z,40.65094043053632,39.66067108133749,20.511428966875663,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2B_MSIL1C_20241014T092029_N0511_R093_T34TDK_20241014T112035.SAFE
L1C_T34TDM_A048653_20241015T094320,S2A_MSIL1C_20241015T094031_N0511_R036_T34TDM_20241015T103450,GS2A_20241015T094031_048653_N05.11,34TDM,2024-10-15T09:48:47.852000Z,79439592,0.855618161762514,,2024-10-15T10:34:50.000000Z,42.448706301058,41.80836086680358,19.78339462668537,20.033611508837,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2A_MSIL1C_20241015T094031_N0511_R036_T34TDM_20241015T103450.SAFE
L1C_T34TDM_A039773_20241017T093032,S2B_MSIL1C_20241017T093029_N0511_R136_T34TDM_20241017T103154,GS2B_20241017T093029_039773_N05.11,34TDM,2024-10-17T09:38:56.768000Z,792716175,53.4280808623727,,2024-10-17T10:31:54.000000Z,42.45276788409956,41.45760533794017,19.78339462668537,21.118572913936227,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2B_MSIL1C_20241017T093029_N0511_R136_T34TDM_20241017T103154.SAFE
